epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
80,0.0091054,0.0012195,0.00022095,0.58493,0.38796,0.41853,0.22819,0.026795,0.0036261,0.013046,0.002179,0.002179,0.002179
81,0.0091419,0.0011744,0.00032628,0.58464,0.39447,0.42475,0.23609,0.02657,0.0037171,0.013112,0.00208,0.00208,0.00208
82,0.0088842,0.0011638,0.00022378,0.52457,0.41709,0.41315,0.22573,0.026602,0.0037738,0.013572,0.001981,0.001981,0.001981
83,0.0086522,0.0011713,0.00024995,0.58684,0.40832,0.41727,0.2298,0.026516,0.003728,0.013333,0.001882,0.001882,0.001882
84,0.0079358,0.0011417,0.00022099,0.56529,0.38487,0.41434,0.23054,0.026823,0.0036909,0.012347,0.001783,0.001783,0.001783
85,0.0076311,0.0011363,0.00024968,0.56086,0.36701,0.40245,0.22066,0.027003,0.0037313,0.012827,0.001684,0.001684,0.001684
86,0.0075415,0.0011414,0.00019586,0.57554,0.40376,0.4211,0.23168,0.026889,0.0038329,0.013035,0.001585,0.001585,0.001585
87,0.0073292,0.0010993,0.00018294,0.56661,0.41468,0.42318,0.23511,0.026654,0.0038711,0.013271,0.001486,0.001486,0.001486
88,0.0068897,0.001081,0.0001667,0.53684,0.40098,0.41065,0.22982,0.026803,0.0038555,0.013685,0.001387,0.001387,0.001387
89,0.0067852,0.0010678,0.00017822,0.53889,0.40956,0.41055,0.2275,0.026688,0.0038597,0.013895,0.001288,0.001288,0.001288
90,0.0064746,0.0010442,0.00015098,0.56372,0.4003,0.41713,0.23657,0.02682,0.0039473,0.013309,0.001189,0.001189,0.001189
91,0.0066213,0.0010498,0.00016867,0.54336,0.39881,0.42103,0.23845,0.026755,0.0039083,0.013229,0.00109,0.00109,0.00109
92,0.0059496,0.0010368,0.0001586,0.54894,0.38796,0.41568,0.2349,0.02672,0.0039631,0.013439,0.000991,0.000991,0.000991
93,0.0058642,0.001038,0.00014646,0.55859,0.42365,0.41903,0.23569,0.026842,0.003948,0.013227,0.000892,0.000892,0.000892
94,0.0056258,0.0010099,0.0001651,0.52786,0.4003,0.41079,0.23257,0.02683,0.0039995,0.013384,0.000793,0.000793,0.000793
95,0.0054575,0.00099667,0.00012645,0.52909,0.40725,0.40667,0.23101,0.02678,0.0040509,0.01354,0.000694,0.000694,0.000694
96,0.0053698,0.0010215,0.00012525,0.55063,0.39413,0.41369,0.23144,0.026797,0.004004,0.013836,0.000595,0.000595,0.000595
97,0.0049468,0.00099736,0.00014361,0.53228,0.39413,0.41587,0.23157,0.026656,0.0039891,0.014008,0.000496,0.000496,0.000496
98,0.0048797,0.00099898,0.00012109,0.54965,0.39105,0.41561,0.23668,0.026656,0.0040131,0.013945,0.000397,0.000397,0.000397
99,0.004578,0.00097021,0.00011598,0.54938,0.38523,0.4127,0.23477,0.026706,0.0040272,0.014,0.000298,0.000298,0.000298
